case_id,name,official_class,derived_status,surface_gravity_m_s2,escape_velocity_m_s,density_from_mass_radius_g_cm3,density_rel_diff_vs_source,stellar_distance_au,insolation_rel_earth,margot_pi,margot_applicability,orbit_source_key,source_dependencies,notes
P01,Mercury,planet,DERIVED,3.702449605039253,4250.118955166491,5.428899518106715,-8.876444296036482e-8,0.38709927,6.673525055728097,131.24344687141317,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P02,Venus,planet,DERIVED,8.870040382802587,10361.439126747278,5.2425996850785195,-0.00007635226425345198,0.72333566,1.911262099781656,957.7671775177369,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P03,Earth,planet,DERIVED,9.820227067859689,11186.12972741166,5.513393872146103,-0.0000011114473640943177,1.00000261,0.9999947800204364,816.3176549308421,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS_EMB_PROXY,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P04,Mars,planet,DERIVED,3.727866878094518,5027.047798320873,3.933964387539546,-0.000009052481050930226,1.52371034,0.43072013128348985,54.61211983757952,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P05,Jupiter,planet,DERIVED,25.9202690025144,60201.52699450046,1.326171398083712,-0.000021566819701449563,5.202887,0.03694121817367083,40576.835030482245,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P06,Saturn,planet,DERIVED,11.185952174019903,36093.77694277857,0.6870952066778035,-0.0000069761638720632255,9.53667594,0.01099527128753355,6144.652067787452,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P07,Uranus,planet,DERIVED,9.007576997014464,21375.22714725066,1.2703697739790059,0.000291160613390424,19.18916464,0.002715737954365561,427.42456777254307,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
P08,Neptune,planet,DERIVED,11.274519530030474,23562.734131183093,1.637873601880644,-0.00007716612903296526,30.06992276,0.0011059496994165663,304.2064547804329,DIRECT_SUN_ORBIT_AUDIT,JPL_APPROX_PLANET_ELEMENTS,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
D01,Ceres,dwarf_planet,DERIVED,0.28389647960418835,516.4226495228249,2.1619473534320464,-0.0000243508639933222,2.769920367,0.13033631341870802,0.040770685425197274,DIRECT_SUN_ORBIT_AUDIT,JPL_PLANET_PHYS_PERIOD,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
D02,Pluto,dwarf_planet,DERIVED,0.6156273758913494,1209.5867151814214,1.8530941875100206,0.000050829740971754004,39.4646693,0.000642071013735184,0.02849431171818996,DIRECT_SUN_ORBIT_AUDIT,JPL_PLANET_PHYS_PERIOD,raw_physical_core_v0.1 + orbital_geometry_v0.2,Derived deterministically; density uses spherical mean-radius approximation.
