candidate_id,sftgcode,start_year,end_year,event_types,outcome_genocide,canonical_status,source_lineage
NEG2014_001,ALB,1996,1997,reg+rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_002,ALG,1991,2004,reg+rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_003,ARG,1966,1966,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_004,ARM,1995,1996,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_005,AZE,1991,1997,eth+reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_006,BEN,1963,1965,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_007,BEN,1972,1972,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_008,BFO,1980,1980,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_009,BLR,1995,1996,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_010,BNG,1974,1991,eth+reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_011,BRA,1961,1965,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_012,CAM,1997,1997,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_013,CHA,1965,1994,eth+reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_014,CHN,1988,1998,eth+rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_015,COL,1955,1960,rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_016,COL,1975,2014,rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_017,COM,1976,1976,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_018,COM,1995,1999,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_019,CON,1963,1963,reg,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_020,CON,1997,1999,reg+rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_021,CRO,1991,1995,eth,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG2014_022,CUB,1955,1961,reg+rev,0,candidate_not_canonical,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
