"packet_id","family","source_id","tradition_id","passage_locator","source_url","witness_scope","motif_id","state","confidence","rationale","ambiguity_flag"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_DSTR_INUNDATION","present","90","Segment C foretells ""A flood will sweep over the ... in all the ..."" and Segment D narrates that ""the flood swept over the land"".","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_EXTERMINATORY","present","85","""A decision that the seed of mankind is to be destroyed has been made""; the verdict of the divine assembly cannot be revoked.","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_WARNING","present","85","The gods place a wall in the Ki-ur and the wall itself speaks to Zi-ud-sura with advance instructions.","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_SELECTED_SURVIVOR","present","80","Zi-ud-sura is addressed personally at the wall while the decree concerns the destruction of the seed of mankind, and he is the one preserved in the boat.","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_VESSEL","present","90","""waves and windstorms had rocked the huge boat for seven days and seven nights""; Zi-ud-sura can ""drill an opening in the huge boat"".","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_HIGH_REFUGE","absent","70","The boat is the only refuge and no landing on high ground is recorded; the passage gives no mountain, tree or tower refuge.","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_POST_RITUAL","present","85","""The king sacrificed oxen and offered innumerable sheep"" immediately after the flood.","0"
"P_FLOOD_SUM","flood","SRC_SUM_FLOOD","SUM_OB","ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11","https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4","in-window","FLOOD_REPOPULATION","absent","60","Segment C+D cover the decree, the deluge and the sacrifice; the renewal of humanity appears only in Segment E (""More and more animals disembarked...""), outside the frozen locator.","1"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_DSTR_INUNDATION","present","90","""the storm flattening the land""; ""the South Wind ... submerging the mountain in water, overwhelming the people like an attack"".","0"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_EXTERMINATORY","present","90","""The hearts of the Great Gods moved them to inflict the Flood""; Enlil rages that ""No man was to survive the annihilation!""","0"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_WARNING","present","90","Ea, bound by the oath, repeats the gods' decision to the reed house and wall so that Utanapishtim can prepare.","0"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_SELECTED_SURVIVOR","present","85","Utanapishtim takes his kith and kin plus the living beings aboard, while ""all the human beings had turned to clay"".","0"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_VESSEL","present","95","The boat is built to specification (six decks, seven levels, bitumen and pitch) and ""On Mt. Nimush the boat lodged firm"".","0"
"P_FLOOD_GILG","flood","SRC_AKK_GILG_TXT","AKK_MB_SB","Epic of Gilgamesh Tablet XI, flood account","https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm","in-window","FLOOD_HIGH_REFUGE","absent","75","Survival is entirely by boat; Mt. Nimush only holds the boat after the waters stop, which the exclusion rule expressly excludes.","0"
