source_id,country_name,historical_entity_note,start_year,end_year,wave_note,source_url
CANTRIL_7023,Brazil,,1957,1963,available in ICPSR collection,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Cuba,,1957,1963,urban-only sampling caveat in methodology,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Dominican Republic,,1957,1963,available in ICPSR collection,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,India,,1957,1963,two waves; female underrepresentation caveat,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Israel,,1957,1963,two waves; one kibbutz sample is not national,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Nigeria,,1957,1963,available in ICPSR collection,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Panama,,1957,1963,available in ICPSR collection,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,United States,,1957,1963,available in ICPSR collection,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,West Germany,historical entity,1957,1963,retain historical entity then crosswalk to DEU only for explicitly defined analyses,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
CANTRIL_7023,Yugoslavia,historical entity,1957,1963,do not back-cast to successor states,"https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr"
WVS_W1,Argentina,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Australia,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Finland,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Hungary,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Japan,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Mexico,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,South Africa,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,South Korea,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,Sweden,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS_W1,United States,,1981,1984,Wave 1 country,"https://datacatalog.ihsn.org/catalog/8894/study-description"
