relative_period,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,bootstrap,simult. conf. band,simult. conf. band,simult. conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
-12,0.02492266801687748,0.05793955120243205,-0.11800167386478419,0.16784700989853915,
-11,-0.07120075592628439,0.09838874165957895,-0.31390450247635915,0.1715029906237904,
-10,0.050167114574172444,0.07093707464730303,-0.12481930659352408,0.22515353574186897,
-9,-0.07154072547727752,0.0906641738305658,-0.295189633831857,0.15210818287730193,
-8,0.052759234775785036,0.027994379954551073,-0.016296846059398337,0.12181531561096841,
-7,0.06728421940523033,0.0929190912393267,-0.16192708251223067,0.2964955213226913,
-6,-0.008670798913326422,0.17710452861024867,-0.44554936753467256,0.42820776970801977,
-5,-0.09740372455221308,0.09373748348899502,-0.32863382315099854,0.13382637404657236,
-4,-0.5864480796801488,0.3342610439228021,-1.4109977823940758,0.23810162303377813,
-3,0.22591028433055196,0.08747270035171839,0.010134050809151002,0.4416865178519529,*
-2,0.032380635058099724,0.298134968703946,-0.7030538532941792,0.7678151234103787,
-1,0.03637728592645306,0.09015929183546975,-0.18602618774008597,0.25878075959299207,
0,0.003524751989959718,0.08583746220781131,-0.20821770269319753,0.21526720667311697,
1,-0.22732611785973494,0.11608555932364825,-0.5136840861900209,0.05903185047055104,
2,0.05658721848154907,0.368892210600228,-0.8533900825351666,0.9665645194982648,
3,0.14084696291436383,0.13493038610632993,-0.19199711740492276,0.4736910432336504,
4,-0.06177222164836966,0.12238106204222778,-0.363659833619206,0.2401153903224667,
5,0.006100748944936292,0.19340848495762406,-0.47099615383082005,0.4831976517206926,
6,0.11074604863742987,0.12388688110080268,-0.1948560932783786,0.41634819055323835,
7,0.13518960511152445,0.24273661172679112,-0.4635891179135134,0.7339683281365623,
8,0.24330922167570534,0.17394450300497583,-0.1857742472151503,0.6723926905665609,
9,0.15924270914045824,0.08040771125813485,-0.03910572427469752,0.35759114255561397,
10,0.610058617467621,0.45543151728627074,-0.5133924367679281,1.7335096717031702,
11,0.5519387178122961,0.30730028137210214,-0.2061046146551041,1.3099820502796962,
12,0.3992704968925085,0.4570527401197339,-0.7281797634415945,1.5267207572266115,
13,1.0091989236476602,0.11845340721851787,0.716999986669417,1.3013978606259033,*
