source,wave,wave_start,wave_end,country_name,country_code,row_status,source_url
WVS,1,1981,1984,"Argentina",ARG,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Australia",AUS,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Finland",FIN,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Hungary",HUN,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Japan",JPN,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Mexico",MEX,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"South Africa",ZAF,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"South Korea",KOR,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"Sweden",SWE,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,1,1981,1984,"United States",USA,reported-and-visible-match,"https://datacatalog.ihsn.org/catalog/8894/study-description"
WVS,2,1990,1994,"Argentina",ARG,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Belarus",BLR,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Brazil",BRA,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Chile",CHL,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"China",CHN,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Czech Republic",CZE,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"India",IND,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Japan",JPN,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Mexico",MEX,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Nigeria",NGA,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Poland",POL,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Russian Federation",RUS,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Slovak Republic",SVK,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"South Africa",ZAF,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"South Korea",KOR,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Spain",ESP,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Switzerland",CHE,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,2,1990,1994,"Turkiye",TUR,geographic-coverage-list,"https://catalog.ihsn.org/catalog/8891"
WVS,3,1995,1998,"Albania",ALB,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Argentina",ARG,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Armenia",ARM,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Azerbaijan",AZE,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Brazil",BRA,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Switzerland",CHE,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
WVS,3,1995,1998,"Chile",CHL,visible-table-incomplete-vs-reported-count,"https://catalog.ihsn.org/catalog/8864"
